4096		# total colors
16		# column width
# palette data r,g,b,a
0,98,81,255
0,143,143,255
188,188,157,255
0,67,45,255
0,81,81,255
0,98,98,255
143,157,143,255
0,0,0,255
0,0,0,255
67,67,67,255
143,143,143,255
241,241,241,255
98,98,0,255
210,210,0,255
255,255,0,255
0,0,0,255
67,31,31,255
241,98,98,255
157,45,45,255
143,0,0,255
98,0,0,255
67,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
67,67,67,255
143,143,143,255
241,241,241,255
98,98,0,255
210,210,0,255
255,255,0,255
0,0,0,255
0,98,81,255
0,143,143,255
188,188,157,255
0,67,45,255
67,31,31,255
67,67,67,255
143,157,143,255
0,0,0,255
98,98,0,255
210,210,0,255
0,0,0,255
255,255,0,255
0,0,0,255
67,67,67,255
241,241,241,255
0,0,0,255
174,174,0,255
143,143,0,255
45,45,45,255
14,14,14,255
112,0,0,255
45,0,0,255
0,31,31,255
0,0,0,255
98,98,0,255
210,210,0,255
0,0,0,255
255,255,0,255
0,0,0,255
67,67,67,255
241,241,241,255
0,0,0,255
45,67,81,255
0,143,143,255
67,81,98,255
0,67,45,255
45,67,67,255
67,31,31,255
67,67,67,255
0,0,0,255
31,31,31,255
67,67,67,255
98,98,98,255
143,143,143,255
174,174,174,255
210,210,210,255
241,241,241,255
0,0,0,255
14,14,14,255
31,31,31,255
45,45,45,255
67,67,67,255
81,81,81,255
98,98,98,255
112,112,112,255
0,0,0,255
98,67,0,255
174,81,0,255
174,143,98,255
241,210,174,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
45,67,81,255
0,143,143,255
67,81,98,255
0,67,45,255
45,67,67,255
0,98,98,255
67,67,67,255
0,0,0,255
31,0,0,255
45,0,0,255
67,0,0,255
81,0,0,255
98,0,0,255
98,14,0,255
98,31,0,255
0,0,0,255
31,31,45,255
45,45,67,255
67,67,81,255
81,81,98,255
98,98,112,255
174,31,14,255
174,31,14,255
0,0,0,255
67,31,31,255
112,31,0,255
157,45,45,255
143,0,0,255
98,0,0,255
67,0,0,255
0,0,0,255
0,0,0,255
0,98,112,255
0,143,143,255
188,188,157,255
0,81,81,255
0,81,81,255
0,98,98,255
143,157,143,255
0,0,0,255
31,0,0,255
14,14,14,255
14,14,31,255
14,31,45,255
31,31,67,255
31,45,81,255
45,67,98,255
0,0,0,255
31,31,45,255
45,45,67,255
67,67,81,255
81,81,98,255
98,98,112,255
174,31,14,255
210,174,31,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,98,81,255
0,143,143,255
0,0,0,255
0,67,45,255
0,98,98,255
0,98,98,255
143,157,143,255
0,0,0,255
0,31,31,255
0,45,45,255
0,81,81,255
0,98,98,255
0,112,112,255
0,157,157,255
67,0,0,255
0,0,0,255
255,45,45,255
45,45,67,255
174,31,14,255
81,81,98,255
174,31,14,255
112,112,143,255
174,31,14,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
